"Gene"	"Gene synonym"	"Ensembl"	"Gene description"	"Uniprot"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA cell line specificity"	"RNA cell line distribution"
"ASIC4"	"ACCN4, BNAC4"	"ENSG00000072182"	"Acid sensing ion channel subunit family member 4"	"Q96FT7"	"Tissue enhanced"	"Detected in some"	NA	"Group enriched"	"Detected in some"
"ASNSD1"	"FLJ20752, NBLA00058, NS3TP1"	"ENSG00000138381"	"Asparagine synthetase domain containing 1"	"L0R819, Q9NWL6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ASPDH"	NA	"ENSG00000204653"	"Aspartate dehydrogenase domain containing"	"A6ND91"	"Group enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in some"
"ASPG"	"C14orf76"	"ENSG00000166183"	"Asparaginase"	"Q86U10"	"Group enriched"	"Detected in many"	6	"Cell line enhanced"	"Detected in some"
"ASPHD1"	NA	"ENSG00000174939"	"Aspartate beta-hydroxylase domain containing 1"	"Q5U4P2"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ASTN2"	"KIAA0634"	"ENSG00000148219"	"Astrotactin 2"	"O75129"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ASXL1"	"KIAA0978"	"ENSG00000171456"	"Additional sex combs like 1, transcriptional regulator"	"Q8IXJ9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ASXL2"	"ASXH2, FLJ10898, KIAA1685"	"ENSG00000143970"	"Additional sex combs like 2, transcriptional regulator"	"Q76L83"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ASXL3"	"KIAA1713"	"ENSG00000141431"	"Additional sex combs like 3, transcriptional regulator"	"Q9C0F0"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ATAD1"	"FLJ14600"	"ENSG00000138138"	"ATPase family, AAA domain containing 1"	"Q8NBU5"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATAD3A"	"FLJ10709"	"ENSG00000197785"	"ATPase family, AAA domain containing 3A"	"Q9NVI7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATAD3B"	"KIAA1273, TOB3"	"ENSG00000160072"	"ATPase family, AAA domain containing 3B"	"Q5T9A4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"ATCAY"	"BNIP-H"	"ENSG00000167654"	"ATCAY, caytaxin"	"Q86WG3"	"Tissue enriched"	"Detected in many"	7	"Cell line enhanced"	"Detected in some"
"ATF4"	"CREB-2, TAXREB67, TXREB"	"ENSG00000128272"	"Activating transcription factor 4"	"P18848"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATF6B"	"CREBL1, G13"	"ENSG00000213676"	"Activating transcription factor 6 beta"	"Q99941"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"ATG14"	"ATG14L, KIAA0831"	"ENSG00000126775"	"Autophagy related 14"	"Q6ZNE5"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATG2A"	"KIAA0404"	"ENSG00000110046"	"Autophagy related 2A"	"Q2TAZ0"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATG3"	"APG3L, DKFZp564M1178, FLJ22125, MGC15201, PC3-96"	"ENSG00000144848"	"Autophagy related 3"	"Q9NT62"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATG9A"	"APG9L1, FLJ22169"	"ENSG00000198925"	"Autophagy related 9A"	"Q7Z3C6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATIC"	"AICARFT, IMPCHASE, PURH"	"ENSG00000138363"	"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase"	"P31939"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATM"	"ATA, ATC, ATD, ATDC, TEL1, TELO1"	"ENSG00000149311"	"ATM serine/threonine kinase"	"Q13315"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"ATP10B"	"ATPVB, FLJ21477, KIAA0715"	"ENSG00000118322"	"ATPase phospholipid transporting 10B (putative)"	"O94823"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enriched"	"Detected in single"
"ATP13A1"	"ATP13A, CGI-152, FLJ31858, KIAA1825"	"ENSG00000105726"	"ATPase 13A1"	"Q9HD20"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATP13A3"	"AFURS1"	"ENSG00000133657"	"ATPase 13A3"	"Q9H7F0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATP13A5"	"FLJ16025"	"ENSG00000187527"	"ATPase 13A5"	"Q4VNC0"	"Group enriched"	"Detected in some"	4	"Cell line enhanced"	"Detected in some"
"ATP1B2"	"AMOG"	"ENSG00000129244"	"ATPase Na+/K+ transporting subunit beta 2"	"P14415"	"Tissue enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in some"
"ATP1B4"	NA	"ENSG00000101892"	"ATPase Na+/K+ transporting family member beta 4"	"Q9UN42"	"Group enriched"	"Detected in some"	9	"Cell line enriched"	"Detected in single"
"ATP2A1"	"ATP2A, SERCA1"	"ENSG00000196296"	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"	"O14983"	"Group enriched"	"Detected in some"	26	"Cell line enhanced"	"Detected in many"
"ATP2A2"	"ATP2B, DAR, SERCA2"	"ENSG00000174437"	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2"	"P16615"	"Group enriched"	"Detected in all"	5	"Low cell line specificity"	"Detected in all"
"ATP2B4"	"ATP2B2, MXRA1, PMCA4"	"ENSG00000058668"	"ATPase plasma membrane Ca2+ transporting 4"	"P23634"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ATP2C2"	"KIAA0703, SPCA2"	"ENSG00000064270"	"ATPase secretory pathway Ca2+ transporting 2"	"O75185"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"ATP4A"	"ATP6A"	"ENSG00000105675"	"ATPase H+/K+ transporting alpha subunit"	"P20648"	"Tissue enriched"	"Detected in some"	24	"Cell line enhanced"	"Detected in some"
"ATP4B"	"ATP6B"	"ENSG00000186009"	"ATPase H+/K+ transporting beta subunit"	"P51164"	"Tissue enriched"	"Detected in some"	24	"Cell line enhanced"	"Detected in some"
"ATP6AP1L"	NA	"ENSG00000205464"	"ATPase H+ transporting accessory protein 1 like"	"Q52LC2"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enriched"	"Detected in some"
"ATP6V0D2"	"ATP6D2, FLJ38708, VMA6"	"ENSG00000147614"	"ATPase H+ transporting V0 subunit d2"	"Q8N8Y2"	"Tissue enriched"	"Detected in some"	5	"Cell line enhanced"	"Detected in some"
"ATP6V1B2"	"ATP6B2, HO57, VATB, Vma2, VPP3"	"ENSG00000147416"	"ATPase H+ transporting V1 subunit B2"	"P21281"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATP6V1D"	"ATP6M, VATD, VMA8"	"ENSG00000100554"	"ATPase H+ transporting V1 subunit D"	"Q9Y5K8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATP8B1"	"ATPIC, BRIC, FIC1, PFIC, PFIC1"	"ENSG00000081923"	"ATPase phospholipid transporting 8B1"	"O43520"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ATP8B2"	"ATPID, KIAA1137"	"ENSG00000143515"	"ATPase phospholipid transporting 8B2"	"P98198"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"ATRNL1"	"ALP, FLJ45344, KIAA0534"	"ENSG00000107518"	"Attractin like 1"	"Q5VV63"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"ATRX"	"JMS, MRX52, RAD54, XH2, XNP"	"ENSG00000085224"	"ATRX, chromatin remodeler"	"P46100"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATXN2"	"ATX2, SCA2, TNRC13"	"ENSG00000204842"	"Ataxin 2"	"Q99700"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"ATXN2L"	"A2D, A2lp"	"ENSG00000168488"	"Ataxin 2 like"	"Q8WWM7"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"AXDND1"	"C1orf125, FLJ32940"	"ENSG00000162779"	"Axonemal dynein light chain domain containing 1"	"Q5T1B0"	"Tissue enriched"	"Detected in some"	8	"Cell line enhanced"	"Detected in some"
"B3GALT5"	"B3GalT-V, B3T5, beta3Gal-T5, GLCT5"	"ENSG00000183778"	"Beta-1,3-galactosyltransferase 5"	"Q9Y2C3"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"B3GAT3"	"GlcAT-I"	"ENSG00000149541"	"Beta-1,3-glucuronyltransferase 3"	"O94766"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"B3GNT2"	"B3GN-T1, B3GN-T2, B3GNT-2, B3GNT1, BETA3GNT"	"ENSG00000170340"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"	"Q9NY97"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"B3GNT7"	"beta3GnT7"	"ENSG00000156966"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"	"Q8NFL0"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"B4GALT3"	"beta4Gal-T3"	"ENSG00000158850"	"Beta-1,4-galactosyltransferase 3"	"O60512"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"BACE2"	"AEPLC, ALP56, CEAP1, DRAP"	"ENSG00000182240"	"Beta-site APP-cleaving enzyme 2"	"Q9Y5Z0"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"BACH2"	"BTBD25"	"ENSG00000112182"	"BTB domain and CNC homolog 2"	"Q9BYV9"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"BAG4"	"SODD"	"ENSG00000156735"	"BCL2 associated athanogene 4"	"O95429"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BAG6"	"BAT3, D6S52E, G3"	"ENSG00000204463"	"BCL2 associated athanogene 6"	"P46379"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BAIAP2"	"BAP2, IRSp53"	"ENSG00000175866"	"BAI1 associated protein 2"	"Q9UQB8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BAIAP3"	"BAP3, KIAA0734"	"ENSG00000007516"	"BAI1 associated protein 3"	"O94812"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"BANK1"	"BANK, FLJ20706"	"ENSG00000153064"	"B cell scaffold protein with ankyrin repeats 1"	"Q8NDB2"	"Group enriched"	"Detected in many"	6	"Cell line enhanced"	"Detected in some"
"BANP"	"BEND1, DKFZp761H172, FLJ10177, FLJ20538, SMAR1, SMARBP1"	"ENSG00000172530"	"BTG3 associated nuclear protein"	"Q8N9N5"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BAP1"	"hucep-6, KIAA0272, UCHL2"	"ENSG00000163930"	"BRCA1 associated protein 1"	"Q92560"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BARHL2"	NA	"ENSG00000143032"	"BarH like homeobox 2"	"Q9NY43"	"Tissue enriched"	"Detected in some"	4	"Cell line enhanced"	"Detected in some"
"BAZ1A"	"ACF1, hACF1, WALp1, WCRF180"	"ENSG00000198604"	"Bromodomain adjacent to zinc finger domain 1A"	"Q9NRL2"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BAZ1B"	"WBSCR10, WBSCR9, WSTF"	"ENSG00000009954"	"Bromodomain adjacent to zinc finger domain 1B"	"Q9UIG0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BAZ2B"	"WALp4"	"ENSG00000123636"	"Bromodomain adjacent to zinc finger domain 2B"	"Q9UIF8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BBS12"	"C4orf24, FLJ35630, FLJ41559"	"ENSG00000181004"	"Bardet-Biedl syndrome 12"	"Q6ZW61"	"Low tissue specificity"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"BCAM"	"CD239, LU"	"ENSG00000187244"	"Basal cell adhesion molecule (Lutheran blood group)"	"P50895"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"BCAP29"	"BAP29, DKFZp686M2086"	"ENSG00000075790"	"B cell receptor associated protein 29"	"Q9UHQ4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BCAR1"	"CAS, CASS1, Crkas, P130Cas"	"ENSG00000050820"	"BCAR1, Cas family scaffolding protein"	"P56945"	"Low tissue specificity"	"Detected in many"	NA	"Low cell line specificity"	"Detected in many"
"BCAR3"	"AND-34, NSP2, SH2D3B"	"ENSG00000137936"	"BCAR3, NSP family adaptor protein"	"O75815"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"BCKDHA"	"MSU, OVD1A"	"ENSG00000248098"	"Branched chain keto acid dehydrogenase E1, alpha polypeptide"	"P12694"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"BCL2L11"	"BIM, BimEL, BimL, BimS, BOD"	"ENSG00000153094"	"BCL2 like 11"	"O43521"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BCL3"	"BCL4, D19S37"	"ENSG00000069399"	"B cell CLL/lymphoma 3"	"P20749"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BCL7A"	"BCL7"	"ENSG00000110987"	"BCL tumor suppressor 7A"	"Q4VC05"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BCL7C"	NA	"ENSG00000099385"	"BCL tumor suppressor 7C"	"Q8WUZ0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BCL9"	NA	"ENSG00000116128"	"B cell CLL/lymphoma 9"	"O00512"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BCL9L"	"DLNB11"	"ENSG00000186174"	"B cell CLL/lymphoma 9 like"	"Q86UU0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BCLAF1"	"BTF, KIAA0164"	"ENSG00000029363"	"BCL2 associated transcription factor 1"	"Q9NYF8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BCORL1"	"CXorf10, FLJ11362"	"ENSG00000085185"	"BCL6 corepressor like 1"	"Q5H9F3"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BDP1"	"HSA238520, KIAA1241, KIAA1689, TAF3B1, TFC5, TFIIIB150, TFIIIB90, TFNR"	"ENSG00000145734"	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	"A6H8Y1"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BECN1"	"ATG6, VPS30"	"ENSG00000126581"	"Beclin 1"	"Q14457"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BEND3"	"KIAA1553"	"ENSG00000178409"	"BEN domain containing 3"	"Q5T5X7"	"Tissue enhanced"	"Detected in many"	NA	"Low cell line specificity"	"Detected in all"
"BHLHB9"	"GASP3, KIAA1701, p60TRP"	"ENSG00000198908"	"Basic helix-loop-helix family member b9"	"Q6PI77"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BHLHE40"	"BHLHB2, bHLHe40, Clast5, DEC1, SHARP2, STRA13"	"ENSG00000134107"	"Basic helix-loop-helix family member e40"	"O14503"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BICD1"	NA	"ENSG00000151746"	"BICD cargo adaptor 1"	"Q96G01"	"Tissue enhanced"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BIN3"	NA	"ENSG00000147439"	"Bridging integrator 3"	"Q9NQY0"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"BIRC6"	"BRUCE"	"ENSG00000115760"	"Baculoviral IAP repeat containing 6"	"Q9NR09"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BIVM"	"FLJ20159"	"ENSG00000134897"	"Basic, immunoglobulin-like variable motif containing"	"Q86UB2"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BLMH"	"BH"	"ENSG00000108578"	"Bleomycin hydrolase"	"Q13867"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BLNK"	"BASH, bca, BLNK-s, Ly57, SLP-65, SLP65"	"ENSG00000095585"	"B cell linker"	"Q8WV28"	"Tissue enhanced"	"Detected in all"	NA	"Group enriched"	"Detected in some"
"BMP5"	NA	"ENSG00000112175"	"Bone morphogenetic protein 5"	"P22003"	"Tissue enhanced"	"Detected in many"	NA	"Group enriched"	"Detected in some"
"BMP6"	"VGR, VGR1"	"ENSG00000153162"	"Bone morphogenetic protein 6"	"P22004"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"BMPER"	"CRIM3, Cv2"	"ENSG00000164619"	"BMP binding endothelial regulator"	"Q8N8U9"	"Low tissue specificity"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"BMPR2"	"BMPR-II, BMPR3, BRK-3, PPH1, T-ALK"	"ENSG00000204217"	"Bone morphogenetic protein receptor type 2"	"Q13873"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BMS1"	"BMS1L, KIAA0187"	"ENSG00000165733"	"BMS1, ribosome biogenesis factor"	"Q14692"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BOD1L1"	"BOD1L, FAM44A, FLJ33215, KIAA1327"	"ENSG00000038219"	"Biorientation of chromosomes in cell division 1 like 1"	"Q8NFC6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BOK"	"BCL2L9, BOKL, MGC4631"	"ENSG00000176720"	"BOK, BCL2 family apoptosis regulator"	"Q9UMX3"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"BPIFC"	"BPIL2, dJ149A16.7"	"ENSG00000184459"	"BPI fold containing family C"	"Q8NFQ6"	"Group enriched"	"Detected in some"	5	"Group enriched"	"Detected in some"
"BPTF"	"FAC1, FALZ, NURF301"	"ENSG00000171634"	"Bromodomain PHD finger transcription factor"	"Q12830"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRAF"	"BRAF1"	"ENSG00000157764"	"B-Raf proto-oncogene, serine/threonine kinase"	"P15056"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRCA1"	"BRCC1, FANCS, PPP1R53, RNF53"	"ENSG00000012048"	"BRCA1, DNA repair associated"	"P38398"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BRD2"	"BRD2-IT1, D6S113E, FSRG1, KIAA9001, NAT, RING3"	"ENSG00000204256"	"Bromodomain containing 2"	"P25440"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRD4"	"CAP, HUNK1, HUNKI, MCAP"	"ENSG00000141867"	"Bromodomain containing 4"	"O60885"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRD8"	"p120, SMAP"	"ENSG00000112983"	"Bromodomain containing 8"	"Q9H0E9"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRF1"	"BRF, GTF3B, hBRF, TAF3B2, TAF3C, TFIIIB90"	"ENSG00000185024"	"BRF1, RNA polymerase III transcription initiation factor subunit"	"Q92994"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRF2"	"BRFU, FLJ11052, TFIIIB50"	"ENSG00000104221"	"BRF2, RNA polymerase III transcription initiation factor subunit"	"Q9HAW0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRINP1"	"DBC1, DBCCR1, FAM5A"	"ENSG00000078725"	"BMP/retinoic acid inducible neural specific 1"	"O60477"	"Tissue enriched"	"Detected in many"	6	"Cell line enhanced"	"Detected in some"
"BRINP3"	"DBCCR1L, DBCCR1L1, FAM5C"	"ENSG00000162670"	"BMP/retinoic acid inducible neural specific 3"	"Q76B58"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enriched"	"Detected in some"
"BRIP1"	"BACH1, FANCJ, OF"	"ENSG00000136492"	"BRCA1 interacting protein C-terminal helicase 1"	"Q9BX63"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in many"
"BRMS1L"	"BRMS1, FLJ39177, MGC11296"	"ENSG00000100916"	"Breast cancer metastasis-suppressor 1 like"	"Q5PSV4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRPF1"	"BR140"	"ENSG00000156983"	"Bromodomain and PHD finger containing 1"	"P55201"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in all"
"BRPF3"	"KIAA1286"	"ENSG00000096070"	"Bromodomain and PHD finger containing 3"	"Q9ULD4"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRSK2"	"C11orf7, PEN11B, STK29"	"ENSG00000174672"	"BR serine/threonine kinase 2"	"Q8IWQ3"	"Group enriched"	"Detected in many"	10	"Cell line enhanced"	"Detected in some"
"BRWD1"	"C21orf107, DCAF19, FLJ11315, N143, WDR9"	"ENSG00000185658"	"Bromodomain and WD repeat domain containing 1"	"Q9NSI6"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BRWD3"	"FLJ38568, MRX93"	"ENSG00000165288"	"Bromodomain and WD repeat domain containing 3"	"Q6RI45"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BSG"	"CD147, EMMPRIN, OK"	"ENSG00000172270"	"Basigin (Ok blood group)"	"P35613"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"BSN"	"ZNF231"	"ENSG00000164061"	"Bassoon presynaptic cytomatrix protein"	"Q9UPA5"	"Tissue enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in some"
"BTBD6"	"BDPL"	"ENSG00000184887"	"BTB domain containing 6"	"Q96KE9"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"BTN3A3"	"BTF3, BTN3.3"	"ENSG00000111801"	"Butyrophilin subfamily 3 member A3"	"O00478"	"Low tissue specificity"	"Detected in all"	NA	"Cell line enhanced"	"Detected in many"
"BTNL8"	"BTN9.2, FLJ21458"	"ENSG00000113303"	"Butyrophilin like 8"	"Q6UX41"	"Group enriched"	"Detected in some"	9	"Cell line enriched"	"Detected in some"
"BTNL9"	"BTN8, FLJ32535"	"ENSG00000165810"	"Butyrophilin like 9"	"Q6UXG8"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enriched"	"Detected in some"
"BUB1"	"BUB1A, BUB1L, hBUB1"	"ENSG00000169679"	"BUB1 mitotic checkpoint serine/threonine kinase"	"O43683"	"Group enriched"	"Detected in many"	5	"Cell line enhanced"	"Detected in many"
"BYSL"	"Enp1"	"ENSG00000112578"	"Bystin like"	"Q13895"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"C10orf53"	"Em:AC069546.1"	"ENSG00000178645"	"Chromosome 10 open reading frame 53"	"Q8N6V4"	"Tissue enriched"	"Detected in single"	71	"Cell line enhanced"	"Detected in some"
"C10orf90"	"bA422P15.2, FATS, FLJ32938"	"ENSG00000154493"	"Chromosome 10 open reading frame 90"	"Q96M02"	"Group enriched"	"Detected in many"	6	"Cell line enhanced"	"Detected in some"
"C11orf16"	NA	"ENSG00000176029"	"Chromosome 11 open reading frame 16"	"Q9NQ32"	"Tissue enhanced"	"Detected in some"	NA	"Cell line enhanced"	"Detected in some"
"C11orf42"	"MGC34805"	"ENSG00000180878"	"Chromosome 11 open reading frame 42"	"Q8N5U0"	"Tissue enriched"	"Detected in some"	14	"Cell line enhanced"	"Detected in some"
"C11orf80"	"FLJ22531, TOPOVIBL"	"ENSG00000173715"	"Chromosome 11 open reading frame 80"	"Q8N6T0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"C11orf87"	"LOC399947, LOH11CR1A, NEURIM1"	"ENSG00000185742"	"Chromosome 11 open reading frame 87"	"Q6NUJ2"	"Tissue enriched"	"Detected in some"	14	"Group enriched"	"Detected in some"
"C12orf10"	"Gamm1, MYG, MYG1"	"ENSG00000139637"	"Chromosome 12 open reading frame 10"	"Q9HB07"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"C12orf4"	NA	"ENSG00000047621"	"Chromosome 12 open reading frame 4"	"Q9NQ89"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"C12orf40"	"FLJ40126"	"ENSG00000180116"	"Chromosome 12 open reading frame 40"	"Q86WS4"	"Tissue enriched"	"Detected in single"	28	"Cell line enriched"	"Detected in some"
"C12orf56"	NA	"ENSG00000185306"	"Chromosome 12 open reading frame 56"	"Q8IXR9"	"Tissue enhanced"	"Detected in some"	NA	"Group enriched"	"Detected in some"
"C14orf93"	"FLJ12154, RTFC"	"ENSG00000100802"	"Chromosome 14 open reading frame 93"	"Q9H972"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"C15orf39"	"DKFZP434H132, FLJ46337"	"ENSG00000167173"	"Chromosome 15 open reading frame 39"	"Q6ZRI6"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in many"
"C16orf72"	"FLJ41272, PRO0149"	"ENSG00000182831"	"Chromosome 16 open reading frame 72"	"Q14CZ0"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"C17orf107"	NA	"ENSG00000205710"	"Chromosome 17 open reading frame 107"	"Q6ZR85"	"Tissue enhanced"	"Detected in many"	NA	"Cell line enhanced"	"Detected in some"
"C19orf47"	"FLJ36888"	"ENSG00000160392"	"Chromosome 19 open reading frame 47"	"Q8N9M1"	"Tissue enhanced"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
"C19orf48"	"BC006151, MGC13170"	"ENSG00000167747"	"Chromosome 19 open reading frame 48"	"Q6RUI8"	"Low tissue specificity"	"Detected in all"	NA	"Low cell line specificity"	"Detected in all"
